horodatage_run,source_page,ligne_lot,motif,brute_facebook,date_appliquee,auteur,apercu_commentaire
2026-04-06 10:13:13,page_SIB,1,parse_echec,Narcisse Davis Yao Ble,06-04-2026,Narcisse Davis Yao Ble,Merci et pareillement à vous.
2026-04-06 10:13:13,page_SIB,2,parse_echec,Ouattara Fetigue,06-04-2026,Ouattara Fetigue,Amen et merci infiniment.
2026-04-06 10:13:13,page_SIB,3,parse_echec,Kouakou Serge Claude N'da,06-04-2026,Kouakou Serge Claude N'da,Merci et pareillement à vous surtout essayer de gérer nos suggestions
2026-04-06 10:13:13,page_SIB,4,parse_echec,Adeline Merveille,06-04-2026,Adeline Merveille,"Bonne fête à vous,pardonnez faites la mise à jour pour moi, pourque, je puisse faire mes opérations (SIB palmeraie)"
2026-04-06 10:13:13,page_SIB,5,parse_echec,Ouattara Fetigue,06-04-2026,Ouattara Fetigue,"Pour la dernière fois,régler svp mon découvert. Bientôt deux ans maintenant que je fais dossier mais toujours en attente"
2026-04-06 10:13:13,page_SIB,6,parse_echec,Noukpelewé Souleymane Soro,06-04-2026,Noukpelewé Souleymane Soro,Amen Merci à vous !
2026-04-06 10:13:13,page_SIB,7,parse_echec,Ouattara Fetigue,06-04-2026,Ouattara Fetigue,Pourquoi ce qui facilite ailleurs est toujours difficile chez vous?
2026-04-06 10:13:13,page_SIB,8,parse_echec,Ouattara Fetigue,06-04-2026,Ouattara Fetigue,Prenez en compte nos suggestions et régler définitivement difficultés.
2026-04-06 10:13:13,page_ecobank,1,parse_echec,Kra Kouakou Hypolithe,06-04-2026,Kra Kouakou Hypolithe,"c'est difficile,une personne non salariée ne peut souscrire voilà le véritable problème. la garantie est un handicap ."
2026-04-06 10:13:13,page_ecobank,2,parse_echec,Azule Mercanté,06-04-2026,Azule Mercanté,"Combien d'ivoirien peut payé 374.000fr/mois ? Jusqu'à présent vous n'avez pas encore trouvé la bonne formule,"
2026-04-06 10:13:13,page_ecobank,3,parse_echec,Théophile Beugré,06-04-2026,Théophile Beugré,Ecochou ecobébé faut sciencer faut virer chouuuu
2026-04-06 10:13:13,page_ecobank,4,parse_echec,Hyacinthe Ballo Koffi,06-04-2026,Hyacinthe Ballo Koffi au commentaire de Théophile Beugré,Théophile Beugré lundi prochain
2026-04-06 10:13:13,page_ecobank,5,parse_echec,Sarah Sylla Grebé,06-04-2026,Sarah Sylla Grebé,En tout cas son Placali est doux
2026-04-06 10:13:13,page_ecobank,6,parse_echec,Doukoure Mohamed,06-04-2026,Doukoure Mohamed,Bonjour pourquoi il es difficile de trouver son gestionnaire de compte chez ecobank
2026-04-06 10:13:13,page_ecobank,7,parse_echec,Jeanclaude Kofi,06-04-2026,Jeanclaude Kofi,"Bjr svp j'ai un soucis avec les transferts par money , c'est à mon niveau où bien c'est général cordialement"
2026-04-06 10:13:13,page_ecobank,8,parse_echec,Daniel Tiendaka,06-04-2026,Daniel Tiendaka,Bonjour team ECOBANK J’ai effectué une réclamation le 28 janvier mais je n’ai toujours pas le sort. Il s’agit de 2 virem
2026-04-06 10:13:13,page_ecobank,9,parse_echec,Doukoure Mohamed,06-04-2026,Doukoure Mohamed,Cela est possible avec un compte entreprise
2026-04-06 10:13:13,page_ecobank,10,parse_echec,Hyacinthe Ballo Koffi,06-04-2026,Hyacinthe Ballo Koffi,"Tchieuuuuuu Ecobank , le 26. Pourquoi si tôt ? Où vous avez dormi la , dormez encore la bas le mois prochain heinnnnn"
2026-04-06 10:13:13,page_ecobank,11,parse_echec,Ruicky Aké,06-04-2026,Ruicky Aké,"Ecobank, svp prenez un peu d exemple sur la confection de vos cartes magnétiques qui s'abîment après quelques mois d'uti"
2026-04-06 10:13:13,page_NSIA,1,parse_echec,Fatcool Soro,06-04-2026,Fatcool Soro,MERCI Mais remboursez l'argent des gens
2026-04-06 10:13:13,page_NSIA,2,parse_echec,Africa DigiEmpower,06-04-2026,Africa DigiEmpower,Super publication ! Le monde évolue et il faut s'adapter. Africa DigiEmpower vous accompagne avec des formations aux mét
2026-04-06 10:13:13,page_NSIA,3,parse_echec,No Limit,06-04-2026,No Limit,Envoyer mon argent Envoyer mon argent Envoyer mon argent Envoyer mon argent
2026-04-06 10:13:13,page_BNI,1,parse_echec,Kellasylvain Mognehi,06-04-2026,Kellasylvain Mognehi,Merci infiniment
2026-04-06 10:13:13,page_BNI,2,parse_echec,Christian Johane,06-04-2026,Christian Johane,2. Allez les Éléphants 6. Espoir… En voir plus
2026-04-06 10:13:13,page_BNI,3,parse_echec,Jean Pierre Kogoulin,06-04-2026,Jean Pierre Kogoulin,Depuis le 5 mars j ai fait la demande de reversement de mon pec mais j' ai rien reçu encore
2026-04-06 10:13:13,page_BNI,4,parse_echec,BD Santos,06-04-2026,BD Santos,Et le samedi ?
2026-04-06 10:13:13,page_BNI,5,parse_echec,Ossaman François Toure,06-04-2026,Ossaman François Toure,"Quelle BNI Online, y a rien de sérieux. Je vais faire une fausse publicité de vous. Pour récupérer un mot de passe, il f"
2026-04-06 10:13:13,page_BNI,6,parse_echec,Sedeuh Le Raelien Gbah,06-04-2026,Sedeuh Le Raelien Gbah,"BNI Côte d'Ivoire Trop de paperasse pour un dossier d'un petit prêt, c'est exagéré. Revoyez vous sinon on va se laisser "
2026-04-06 10:13:13,page_BNI,7,parse_echec,Jean Luc Vangah,06-04-2026,Jean Luc Vangah,Ok nous notre virement n est pas encore passé
2026-04-06 10:13:13,page_sgci,1,parse_echec,Abissa Médard Yao,06-04-2026,Abissa Médard Yao,On dit de relier nos comptes aux mobilemoney c'est tout
2026-04-06 10:13:13,page_sgci,2,parse_echec,Moussa Elias Farakhan Diomande,06-04-2026,Moussa Elias Farakhan Diomande,"Quels sont les acquis concrets de ce forum ? Au-delà des discours, nous aimerions savoir ce que les entreprises présente"
2026-04-06 10:13:13,page_sgci,3,parse_echec,Soumangourou Kante,06-04-2026,Soumangourou Kante,Bravo Myriam… En voir plus
2026-04-06 10:13:13,page_sgci,4,parse_echec,Attemene Raoul Kouassi,06-04-2026,Attemene Raoul Kouassi,Je demande à la sgci de lier notre compte bancaire à wave et les autres mobile money
2026-04-06 10:13:13,page_sgci,5,parse_echec,Fourier De St Joseph,06-04-2026,Fourier De St Joseph,La BK….
2026-04-06 10:13:13,page_sgci,6,parse_echec,Amoin Olga Kouakou,06-04-2026,Amoin Olga Kouakou,C'est super ma Bécanty. Que Dieu bénisse tes projets.
2026-04-06 10:13:13,page_sgci,7,parse_echec,Andréa Betsy,06-04-2026,Andréa Betsy,Parfait
2026-04-06 10:13:13,page_BACI,1,parse_echec,Marie Noel Kouadio,06-04-2026,Marie Noel Kouadio,Bonjour puis je en savoir plus sur le découvert de Banque Atlantique ?
